2016,2017,2018,2019,2020
0.908011869,0.198130841,0.965367965,1,0.866485014
1,0.155140187,1,0.841294299,0.997275204
0.683976261,0.119626168,0.470779221,0.543913713,1
0.025222552,0,0.072510823,0.004622496,0.825613079
0.105341246,0.207476636,0.071428571,0,0.305177112
0.360534125,0.222429907,0.021645022,0.083204931,0.555858311
0.390207715,0.110280374,0.067099567,0.087827427,0.591280654
0.379821958,0.209345794,0,0.104776579,0.675749319
0,0.272897196,0.123376623,0.203389831,0.42506812
0.03264095,0.33271028,0.202380952,0.303543914,0.267029973
0.216617211,0.4,0.338744589,0.431432974,0
0.34272997,1,0.38961039,0.579352851,0.198910082
